UID,Ano_Criacao,Sigla_IF,Nome_IF,Campus_IF,Regioes,UF,Municipio,Endereco_Padronizado
cefet_rj_uned_angra_dos_reis,2010,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Angra dos Reis,Sudeste,RJ,Angra dos Reis,Angra dos Reis/RJ
cefet_rj_uned_itaguai,2010,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Itaguaí,Sudeste,RJ,Itaguaí,Itaguaí/RJ
cefet_rj_uned_maria_da_graca,2006,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Maria da Graça,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cefet_rj_uned_nova_friburgo,2008,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Nova Friburgo,Sudeste,RJ,Nova Friburgo,Nova Friburgo/RJ
cefet_rj_uned_nova_iguacu,2003,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Nova Iguaçu,Sudeste,RJ,Nova Iguaçu,Nova Iguaçu/RJ
cefet_rj_uned_petropolis,2008,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Petrópolis,Sudeste,RJ,Petrópolis,Petrópolis/RJ
cefet_rj_uned_valenca,2009,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Valença,Sudeste,RJ,Valença,Valença/RJ
cefet_rj_unidade_maracana,1917,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Unidade Maracanã,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cefet_mg_uned_araxa,1992,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Araxá,Sudeste,MG,Araxá,Araxá/MG
cefet_mg_uned_contagem,2008,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Contagem,Sudeste,MG,Contagem,Contagem/MG
cefet_mg_uned_curvelo,2010,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Curvelo,Sudeste,MG,Curvelo,Curvelo/MG
cefet_mg_uned_divinopolis,1987,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Divinópolis,Sudeste,MG,Divinópolis,Divinópolis/MG
cefet_mg_uned_leopoldina,1987,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Leopoldina,Sudeste,MG,Leopoldina,Leopoldina/MG
cefet_mg_uned_nepomuceno,2006,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Nepomuceno,Sudeste,MG,Nepomuceno,Nepomuceno/MG
cefet_mg_uned_timoteo,2006,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Timóteo,Sudeste,MG,Timóteo,Timóteo/MG
cefet_mg_uned_varginha,2010,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Varginha,Sudeste,MG,Varginha,Varginha/MG
cefet_mg_unidade_belo_horizonte,1909,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Unidade Belo Horizonte,Sudeste,MG,Belo Horizonte,Belo Horizonte/MG
cpii_campus_centro,1938,CPII,Colégio Pedro II,Campus Centro,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cpii_campus_duque_de_caxias,2012,CPII,Colégio Pedro II,Campus Duque de Caxias,Sudeste,RJ,Duque de Caxias,Duque de Caxias/RJ
cpii_campus_engenho_novo_i,1986,CPII,Colégio Pedro II,Campus Engenho Novo I,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cpii_campus_engenho_novo_ii,1952,CPII,Colégio Pedro II,Campus Engenho Novo II,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cpii_campus_humaita_i,1985,CPII,Colégio Pedro II,Campus Humaitá I,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cpii_campus_humaita_ii,1952,CPII,Colégio Pedro II,Campus Humaitá II,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cpii_campus_niteroi,2006,CPII,Colégio Pedro II,Campus Niterói,Sudeste,RJ,Niterói,Niterói/RJ
cpii_campus_realengo_i,2010,CPII,Colégio Pedro II,Campus Realengo I,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cpii_campus_realengo_ii,2004,CPII,Colégio Pedro II,Campus Realengo II,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cpii_campus_sao_cristovao_i,1984,CPII,Colégio Pedro II,Campus São Cristóvão I,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cpii_campus_sao_cristovao_ii,1888,CPII,Colégio Pedro II,Campus São Cristóvão II,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cpii_campus_sao_cristovao_iii,1999,CPII,Colégio Pedro II,Campus São Cristóvão III,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cpii_campus_tijuca_i,1987,CPII,Colégio Pedro II,Campus Tijuca I,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cpii_campus_tijuca_ii,1957,CPII,Colégio Pedro II,Campus Tijuca II,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
if_baiano_campus_alagoinhas,2016,IF Baiano,Instituto Federal Baiano,Campus Alagoinhas,Nordeste,BA,Alagoinhas,Alagoinhas/BA
if_baiano_campus_bom_jesus_da_lapa,2010,IF Baiano,Instituto Federal Baiano,Campus Bom Jesus da Lapa,Nordeste,BA,Bom Jesus da Lapa,Bom Jesus da Lapa/BA
if_baiano_campus_catu,1964,IF Baiano,Instituto Federal Baiano,Campus Catu,Nordeste,BA,Catu,Catu/BA
if_baiano_campus_governador_mangabeira,2013,IF Baiano,Instituto Federal Baiano,Campus Governador Mangabeira,Nordeste,BA,Governador Mangabeira,Governador Mangabeira/BA
if_baiano_campus_guanambi,1993,IF Baiano,Instituto Federal Baiano,Campus Guanambi,Nordeste,BA,Guanambi,Guanambi/BA
if_baiano_campus_itaberaba,2016,IF Baiano,Instituto Federal Baiano,Campus Itaberaba,Nordeste,BA,Itaberaba,Itaberaba/BA
if_baiano_campus_itapetinga,2010,IF Baiano,Instituto Federal Baiano,Campus Itapetinga,Nordeste,BA,Itapetinga,Itapetinga/BA
if_baiano_campus_santa_ines,1993,IF Baiano,Instituto Federal Baiano,Campus Santa Inês,Nordeste,BA,Santa Inês,Santa Inês/BA
if_baiano_campus_senhor_do_bonfim,1993,IF Baiano,Instituto Federal Baiano,Campus Senhor do Bonfim,Nordeste,BA,Senhor do Bonfim,Senhor do Bonfim/BA
if_baiano_campus_serrinha,2016,IF Baiano,Instituto Federal Baiano,Campus Serrinha,Nordeste,BA,Serrinha,Serrinha/BA
if_baiano_campus_teixeira_de_freitas,2010,IF Baiano,Instituto Federal Baiano,Campus Teixeira de Freitas,Nordeste,BA,Teixeira de Freitas,Teixeira de Freitas/BA
if_baiano_campus_urucuca,2011,IF Baiano,Instituto Federal Baiano,Campus Uruçuca,Nordeste,BA,Uruçuca,Uruçuca/BA
if_baiano_campus_valenca,2010,IF Baiano,Instituto Federal Baiano,Campus Valença,Nordeste,BA,Valença,Valença/BA
if_baiano_campus_xique_xique,2016,IF Baiano,Instituto Federal Baiano,Campus Xique-Xique,Nordeste,BA,Xique-Xique,Xique-Xique/BA
ifc_campus_abelardo_luz,2015,IFC,Instituto Federal Catarinense,Campus Abelardo Luz,Sul,SC,Abelardo Luz,Abelardo Luz/SC
ifc_campus_araquari,1954,IFC,Instituto Federal Catarinense,Campus Araquari,Sul,SC,Araquari,Araquari/SC
ifc_campus_avancado_sombrio,2014,IFC,Instituto Federal Catarinense,Campus Avançado Sombrio,Sul,SC,Sombrio,Sombrio/SC
ifc_campus_blumenau,2013,IFC,Instituto Federal Catarinense,Campus Blumenau,Sul,SC,Blumenau,Blumenau/SC
ifc_campus_brusque,2013,IFC,Instituto Federal Catarinense,Campus Brusque,Sul,SC,Brusque,Brusque/SC
ifc_campus_camboriu,1953,IFC,Instituto Federal Catarinense,Campus Camboriú,Sul,SC,Camboriú,Camboriú/SC
ifc_campus_concordia,1967,IFC,Instituto Federal Catarinense,Campus Concórdia,Sul,SC,Concórdia,Concórdia/SC
ifc_campus_fraiburgo,2013,IFC,Instituto Federal Catarinense,Campus Fraiburgo,Sul,SC,Fraiburgo,Fraiburgo/SC
ifc_campus_ibirama,2013,IFC,Instituto Federal Catarinense,Campus Ibirama,Sul,SC,Ibirama,Ibirama/SC
ifc_campus_luzerna,2013,IFC,Instituto Federal Catarinense,Campus Luzerna,Sul,SC,Luzerna,Luzerna/SC
ifc_campus_rio_do_sul,1993,IFC,Instituto Federal Catarinense,Campus Rio do Sul,Sul,SC,Rio do Sul,Rio do Sul/SC
ifc_campus_santa_rosa_do_sul,1993,IFC,Instituto Federal Catarinense,Campus Santa Rosa do Sul,Sul,SC,Santa Rosa do Sul,Santa Rosa do Sul/SC
ifc_campus_sao_bento_do_sul,2016,IFC,Instituto Federal Catarinense,Campus São Bento do Sul,Sul,SC,São Bento do Sul,São Bento do Sul/SC
ifc_campus_sao_francisco_do_sul,2013,IFC,Instituto Federal Catarinense,Campus São Francisco do Sul,Sul,SC,São Francisco do Sul,São Francisco do Sul/SC
ifc_campus_videira,2010,IFC,Instituto Federal Catarinense,Campus Videira,Sul,SC,Videira,Videira/SC
ifba_campus_avancado_ubaitaba,2015,IFBA,Instituto Federal da Bahia,Campus Avançado Ubaitaba,Nordeste,BA,Ubaitaba,Ubaitaba/BA
ifba_campus_barreiras,1993,IFBA,Instituto Federal da Bahia,Campus Barreiras,Nordeste,BA,Barreiras,Barreiras/BA
ifba_campus_brumado,2013,IFBA,Instituto Federal da Bahia,Campus Brumado,Nordeste,BA,Brumado,Brumado/BA
ifba_campus_camacari,2007,IFBA,Instituto Federal da Bahia,Campus Camaçari,Nordeste,BA,Camaçari,Camaçari/BA
ifba_campus_euclides_da_cunha,2015,IFBA,Instituto Federal da Bahia,Campus Euclides da Cunha,Nordeste,BA,Euclides da Cunha,Euclides da Cunha/BA
ifba_campus_eunapolis,1993,IFBA,Instituto Federal da Bahia,Campus Eunápolis,Nordeste,BA,Eunápolis,Eunápolis/BA
ifba_campus_feira_de_santana,2011,IFBA,Instituto Federal da Bahia,Campus Feira de Santana,Nordeste,BA,Feira de Santana,Feira de Santana/BA
ifba_campus_ilheus,2011,IFBA,Instituto Federal da Bahia,Campus Ilhéus,Nordeste,BA,Ilhéus,Ilhéus/BA
ifba_campus_irece,2010,IFBA,Instituto Federal da Bahia,Campus Irecê,Nordeste,BA,Irecê,Irecê/BA
ifba_campus_jacobina,2011,IFBA,Instituto Federal da Bahia,Campus Jacobina,Nordeste,BA,Jacobina,Jacobina/BA
ifba_campus_jequie,2010,IFBA,Instituto Federal da Bahia,Campus Jequié,Nordeste,BA,Jequié,Jequié/BA
ifba_campus_juazeiro,2015,IFBA,Instituto Federal da Bahia,Campus Juazeiro,Nordeste,BA,Juazeiro,Juazeiro/BA
ifba_campus_lauro_de_freitas,2016,IFBA,Instituto Federal da Bahia,Campus Lauro de Freitas,Nordeste,BA,Lauro de Freitas,Lauro de Freitas/BA
ifba_campus_paulo_afonso,2010,IFBA,Instituto Federal da Bahia,Campus Paulo Afonso,Nordeste,BA,Paulo Afonso,Paulo Afonso/BA
ifba_campus_porto_seguro,2006,IFBA,Instituto Federal da Bahia,Campus Porto Seguro,Nordeste,BA,Porto Seguro,Porto Seguro/BA
ifba_campus_salvador,1909,IFBA,Instituto Federal da Bahia,Campus Salvador,Nordeste,BA,Salvador,Salvador/BA
ifba_campus_santo_amaro,2006,IFBA,Instituto Federal da Bahia,Campus Santo Amaro,Nordeste,BA,Santo Amaro,Santo Amaro/BA
ifba_campus_santo_antonio_de_jesus,2016,IFBA,Instituto Federal da Bahia,Campus Santo Antônio de Jesus,Nordeste,BA,Santo Antÿnio de Jesus,Santo Antÿnio de Jesus/BA
ifba_campus_seabra,2010,IFBA,Instituto Federal da Bahia,Campus Seabra,Nordeste,BA,Seabra,Seabra/BA
ifba_campus_simoes_filho,2006,IFBA,Instituto Federal da Bahia,Campus Simões Filho,Nordeste,BA,Simões Filho,Simões Filho/BA
ifba_campus_valenca_tento,1994,IFBA,Instituto Federal da Bahia,Campus Valença Tento,Nordeste,BA,Valença,Valença/BA
ifba_campus_vitoria_da_conquista,1993,IFBA,Instituto Federal da Bahia,Campus Vitória da Conquista,Nordeste,BA,Vitória da Conquista,Vitória da Conquista/BA
ifba_polo_de_inovacao_salvador,2015,IFBA,Instituto Federal da Bahia,Polo de Inovação Salvador,Nordeste,BA,Salvador,Salvador/BA
ifpb_campus_avancado_areia,2020,IFPB,Instituto Federal da Paraíba,Campus Avançado Areia,Nordeste,PB,Areia,Areia/PB
ifpb_campus_avancado_mangabeira,2016,IFPB,Instituto Federal da Paraíba,Campus Avançado Mangabeira,Nordeste,PB,Coronel João Pessoa,Coronel João Pessoa/PB
ifpb_campus_avancado_soledade,2016,IFPB,Instituto Federal da Paraíba,Campus Avançado Soledade,Nordeste,PB,Soledade,Soledade/PB
ifpb_campus_cabedelo,2010,IFPB,Instituto Federal da Paraíba,Campus Cabedelo,Nordeste,PB,Cabedelo,Cabedelo/PB
ifpb_campus_cabedelo_centro,2015,IFPB,Instituto Federal da Paraíba,Campus Cabedelo Centro,Nordeste,PB,Cabedelo,Cabedelo/PB
ifpb_campus_cajazeiras,1994,IFPB,Instituto Federal da Paraíba,Campus Cajazeiras,Nordeste,PB,Cajazeiras,Cajazeiras/PB
ifpb_campus_campina_grande,2007,IFPB,Instituto Federal da Paraíba,Campus Campina Grande,Nordeste,PB,Campina Grande,Campina Grande/PB
ifpb_campus_catole_do_rocha,2015,IFPB,Instituto Federal da Paraíba,Campus Catolé do Rocha,Nordeste,PB,Catolé do Rocha,Catolé do Rocha/PB
ifpb_campus_esperanca,2016,IFPB,Instituto Federal da Paraíba,Campus Esperança,Nordeste,PB,Esperança,Esperança/PB
ifpb_campus_guarabira,2013,IFPB,Instituto Federal da Paraíba,Campus Guarabira,Nordeste,PB,Guarabira,Guarabira/PB
ifpb_campus_itabaiana,2016,IFPB,Instituto Federal da Paraíba,Campus Itabaiana,Nordeste,PB,Itabaiana,Itabaiana/PB
ifpb_campus_itaporanga,2016,IFPB,Instituto Federal da Paraíba,Campus Itaporanga,Nordeste,PB,Itaporanga,Itaporanga/PB
ifpb_campus_joao_pessoa,1909,IFPB,Instituto Federal da Paraíba,Campus João Pessoa,Nordeste,PB,Coronel João Pessoa,Coronel João Pessoa/PB
ifpb_campus_monteiro,2010,IFPB,Instituto Federal da Paraíba,Campus Monteiro,Nordeste,PB,Monteiro,Monteiro/PB
ifpb_campus_patos,2010,IFPB,Instituto Federal da Paraíba,Campus Patos,Nordeste,PB,Patos,Patos/PB
ifpb_campus_pedra_de_fogo,2020,IFPB,Instituto Federal da Paraíba,Campus Pedra de Fogo,Nordeste,PB,Pedras de Fogo,Pedras de Fogo/PB
ifpb_campus_picui,2010,IFPB,Instituto Federal da Paraíba,Campus Picuí,Nordeste,PB,Picuí,Picuí/PB
ifpb_campus_princesa_isabel,2010,IFPB,Instituto Federal da Paraíba,Campus Princesa Isabel,Nordeste,PB,Princesa Isabel,Princesa Isabel/PB
ifpb_campus_santa_luzia,2017,IFPB,Instituto Federal da Paraíba,Campus Santa Luzia,Nordeste,PB,Santa Luzia,Santa Luzia/PB
ifpb_campus_santa_rita,2016,IFPB,Instituto Federal da Paraíba,Campus Santa Rita,Nordeste,PB,Santa Rita,Santa Rita/PB
ifpb_campus_sousa,1946,IFPB,Instituto Federal da Paraíba,Campus Sousa,Nordeste,PB,Sousa,Sousa/PB
ifpb_polo_de_inovacao_joao_pessoa,2018,IFPB,Instituto Federal da Paraíba,Polo de Inovação João Pessoa,Nordeste,PB,Coronel João Pessoa,Coronel João Pessoa/PB
ifal_campus_arapiraca,2010,IFAL,Instituto Federal de Alagoas,Campus Arapiraca,Nordeste,AL,Arapiraca,Arapiraca/AL
ifal_campus_avancado_maceio_benedito_bentes,2016,IFAL,Instituto Federal de Alagoas,Campus Avançado Maceió Benedito Bentes,Nordeste,AL,Maceió,Maceió/AL
ifal_campus_batalha,2014,IFAL,Instituto Federal de Alagoas,Campus Batalha,Nordeste,AL,Batalha,Batalha/AL
ifal_campus_coruripe,2014,IFAL,Instituto Federal de Alagoas,Campus Coruripe,Nordeste,AL,Coruripe,Coruripe/AL
ifal_campus_maceio,1909,IFAL,Instituto Federal de Alagoas,Campus Maceió,Nordeste,AL,Maceió,Maceió/AL
ifal_campus_maragogi,2008,IFAL,Instituto Federal de Alagoas,Campus Maragogi,Nordeste,AL,Maragogi,Maragogi/AL
ifal_campus_marechal_deodoro,1995,IFAL,Instituto Federal de Alagoas,Campus Marechal Deodoro,Nordeste,AL,Marechal Deodoro,Marechal Deodoro/AL
ifal_campus_murici,2015,IFAL,Instituto Federal de Alagoas,Campus Murici,Nordeste,AL,Murici,Murici/AL
ifal_campus_palmeira_dos_indios,1992,IFAL,Instituto Federal de Alagoas,Campus Palmeira dos Índios,Nordeste,AL,Palmeira dos Índios,Palmeira dos Índios/AL
ifal_campus_penedo,2010,IFAL,Instituto Federal de Alagoas,Campus Penedo,Nordeste,AL,Penedo,Penedo/AL
ifal_campus_piranhas,2012,IFAL,Instituto Federal de Alagoas,Campus Piranhas,Nordeste,AL,Piranhas,Piranhas/AL
ifal_campus_rio_largo,2014,IFAL,Instituto Federal de Alagoas,Campus Rio Largo,Nordeste,AL,Rio Largo,Rio Largo/AL
ifal_campus_santana_do_ipanema,2013,IFAL,Instituto Federal de Alagoas,Campus Santana do Ipanema,Nordeste,AL,Santana do Ipanema,Santana do Ipanema/AL
ifal_campus_sao_miguel_dos_campos,2013,IFAL,Instituto Federal de Alagoas,Campus São Miguel dos Campos,Nordeste,AL,São Miguel dos Campos,São Miguel dos Campos/AL
ifal_campus_satuba,1911,IFAL,Instituto Federal de Alagoas,Campus Satuba,Nordeste,AL,Satuba,Satuba/AL
ifal_campus_vicosa,2014,IFAL,Instituto Federal de Alagoas,Campus Viçosa,Nordeste,AL,Viçosa,Viçosa/AL
ifb_campus_brasilia,2010,IFB,Instituto Federal de Brasília,Campus Brasília,Centro-Oeste,DF,Brasília,Brasília/DF
ifb_campus_ceilandia,2013,IFB,Instituto Federal de Brasília,Campus Ceilândia,Centro-Oeste,DF,Brasília,Brasília/DF
ifb_campus_estrutural,2013,IFB,Instituto Federal de Brasília,Campus Estrutural,Centro-Oeste,DF,Brasília,Brasília/DF
ifb_campus_gama,2010,IFB,Instituto Federal de Brasília,Campus Gama,Centro-Oeste,DF,Brasília,Brasília/DF
ifb_campus_planaltina,2008,IFB,Instituto Federal de Brasília,Campus Planaltina,Centro-Oeste,DF,Brasília,Brasília/DF
ifb_campus_recanto_das_emas,2013,IFB,Instituto Federal de Brasília,Campus Recanto das Emas,Centro-Oeste,DF,Brasília,Brasília/DF
ifb_campus_riacho_fundo,2013,IFB,Instituto Federal de Brasília,Campus Riacho Fundo,Centro-Oeste,DF,Brasília,Brasília/DF
ifb_campus_samambaia,2010,IFB,Instituto Federal de Brasília,Campus Samambaia,Centro-Oeste,DF,Brasília,Brasília/DF
ifb_campus_sao_sebastiao,2013,IFB,Instituto Federal de Brasília,Campus São Sebastião,Centro-Oeste,DF,Brasília,Brasília/DF
ifb_campus_taguatinga,2010,IFB,Instituto Federal de Brasília,Campus Taguatinga,Centro-Oeste,DF,Brasília,Brasília/DF
ifg_campus_aguas_lindas_de_goias,2014,IFG,Instituto Federal de Goiás,Campus Águas Lindas de Goiás,Centro-Oeste,GO,Águas Lindas de Goiás,Águas Lindas de Goiás/GO
ifg_campus_anapolis,2010,IFG,Instituto Federal de Goiás,Campus Anápolis,Centro-Oeste,GO,Anápolis,Anápolis/GO
ifg_campus_aparecida_de_goiania,2012,IFG,Instituto Federal de Goiás,Campus Aparecida de Goiânia,Centro-Oeste,GO,Aparecida de Goiânia,Aparecida de Goiânia/GO
ifg_campus_cidade_de_goias,2012,IFG,Instituto Federal de Goiás,Campus Cidade de Goiás,Centro-Oeste,GO,Goiás,Goiás/GO
ifg_campus_formosa,2010,IFG,Instituto Federal de Goiás,Campus Formosa,Centro-Oeste,GO,Formosa,Formosa/GO
ifg_campus_goiania,1942,IFG,Instituto Federal de Goiás,Campus Goiânia,Centro-Oeste,GO,Goiânia,Goiânia/GO
ifg_campus_goiania_oeste,2014,IFG,Instituto Federal de Goiás,Campus Goiânia Oeste,Centro-Oeste,GO,Goiânia,Goiânia/GO
ifg_campus_inhumas,2006,IFG,Instituto Federal de Goiás,Campus Inhumas,Centro-Oeste,GO,Inhumas,Inhumas/GO
ifg_campus_itumbiara,2008,IFG,Instituto Federal de Goiás,Campus Itumbiara,Centro-Oeste,GO,Itumbiara,Itumbiara/GO
ifg_campus_jatai,1988,IFG,Instituto Federal de Goiás,Campus Jataí,Centro-Oeste,GO,Jataí,Jataí/GO
ifg_campus_luziania,2010,IFG,Instituto Federal de Goiás,Campus Luziânia,Centro-Oeste,GO,Luziânia,Luziânia/GO
ifg_campus_senador_canedo,2014,IFG,Instituto Federal de Goiás,Campus Senador Canedo,Centro-Oeste,GO,Senador Canedo,Senador Canedo/GO
ifg_campus_uruacu,2008,IFG,Instituto Federal de Goiás,Campus Uruaçu,Centro-Oeste,GO,Uruaçu,Uruaçu/GO
ifg_campus_valparaiso_de_goias,2015,IFG,Instituto Federal de Goiás,Campus Valparaíso de Goiás,Centro-Oeste,GO,Valparaíso de Goiás,Valparaíso de Goiás/GO
ifg_polo_de_inovacao_goiania,2021,IFG,Instituto Federal de Goiás,Polo de Inovação Goiânia,Centro-Oeste,GO,Goiânia,Goiânia/GO
ifmt_campus_alta_floresta,2015,IFMT,Instituto Federal de Mato Grosso,Campus Alta Floresta,Centro-Oeste,MT,Alta Floresta,Alta Floresta/MT
ifmt_campus_avancado_diamantino,2014,IFMT,Instituto Federal de Mato Grosso,Campus Avançado Diamantino,Centro-Oeste,MT,Diamantino,Diamantino/MT
ifmt_campus_avancado_guaranta_do_norte,2016,IFMT,Instituto Federal de Mato Grosso,Campus Avançado Guarantã do Norte,Centro-Oeste,MT,Guarantã do Norte,Guarantã do Norte/MT
ifmt_campus_avancado_lucas_do_rio_verde,2016,IFMT,Instituto Federal de Mato Grosso,Campus Avançado Lucas do Rio Verde,Centro-Oeste,MT,Lucas do Rio Verde,Lucas do Rio Verde/MT
ifmt_campus_avancado_tangara_da_serra,2014,IFMT,Instituto Federal de Mato Grosso,Campus Avançado Tangará da Serra,Centro-Oeste,MT,Tangará da Serra,Tangará da Serra/MT
ifmt_campus_barra_do_garcas,2010,IFMT,Instituto Federal de Mato Grosso,Campus Barra do Garças,Centro-Oeste,MT,Barra do Garças,Barra do Garças/MT
ifmt_campus_caceres,1980,IFMT,Instituto Federal de Mato Grosso,Campus Cáceres,Centro-Oeste,MT,Cáceres,Cáceres/MT
ifmt_campus_campo_novo_do_parecis,2008,IFMT,Instituto Federal de Mato Grosso,Campus Campo Novo do Parecis,Centro-Oeste,MT,Campo Novo do Parecis,Campo Novo do Parecis/MT
ifmt_campus_confresa,2010,IFMT,Instituto Federal de Mato Grosso,Campus Confresa,Centro-Oeste,MT,Confresa,Confresa/MT
ifmt_campus_cuiaba,1909,IFMT,Instituto Federal de Mato Grosso,Campus Cuiabá,Centro-Oeste,MT,Cuiabá,Cuiabá/MT
ifmt_campus_cuiaba_bela_vista,2006,IFMT,Instituto Federal de Mato Grosso,Campus Cuiabá Bela Vista,Centro-Oeste,MT,Cuiabá,Cuiabá/MT
ifmt_campus_juina,2010,IFMT,Instituto Federal de Mato Grosso,Campus Juína,Centro-Oeste,MT,Juína,Juína/MT
ifmt_campus_pontes_e_lacerda,2008,IFMT,Instituto Federal de Mato Grosso,Campus Pontes e Lacerda,Centro-Oeste,MT,Pontes e Lacerda,Pontes e Lacerda/MT
ifmt_campus_primavera_do_leste,2013,IFMT,Instituto Federal de Mato Grosso,Campus Primavera do Leste,Centro-Oeste,MT,Primavera do Leste,Primavera do Leste/MT
