UID,Ano_Criacao,Sigla_IF,Nome_IF,Campus_IF,Regioes,UF,Municipio,Endereco_Padronizado
ifmt_campus_rondonopolis,2010,IFMT,Instituto Federal de Mato Grosso,Campus Rondonópolis,Centro-Oeste,MT,Rondonópolis,Rondonópolis/MT
ifmt_campus_sao_vicente,1943,IFMT,Instituto Federal de Mato Grosso,Campus São Vicente,Centro-Oeste,MT,Santo Antÿnio de Leverger,Santo Antÿnio de Leverger/MT
ifmt_campus_sinop,2016,IFMT,Instituto Federal de Mato Grosso,Campus Sinop,Centro-Oeste,MT,Sinop,Sinop/MT
ifmt_campus_sorriso,2013,IFMT,Instituto Federal de Mato Grosso,Campus Sorriso,Centro-Oeste,MT,Sorriso,Sorriso/MT
ifmt_campus_varzea_grande,2013,IFMT,Instituto Federal de Mato Grosso,Campus Várzea Grande,Centro-Oeste,MT,Várzea Grande,Várzea Grande/MT
ifms_campus_aquidauana,2011,IFMS,Instituto Federal de Mato Grosso do Sul,Campus Aquidauana,Centro-Oeste,MS,Aquidauana,Aquidauana/MS
ifms_campus_campo_grande,2011,IFMS,Instituto Federal de Mato Grosso do Sul,Campus Campo Grande,Centro-Oeste,MS,Campo Grande,Campo Grande/MS
ifms_campus_corumba,2011,IFMS,Instituto Federal de Mato Grosso do Sul,Campus Corumbá,Centro-Oeste,MS,Corumbá,Corumbá/MS
ifms_campus_coxim,2011,IFMS,Instituto Federal de Mato Grosso do Sul,Campus Coxim,Centro-Oeste,MS,Coxim,Coxim/MS
ifms_campus_dourados,2016,IFMS,Instituto Federal de Mato Grosso do Sul,Campus Dourados,Centro-Oeste,MS,Dourados,Dourados/MS
ifms_campus_jardim,2016,IFMS,Instituto Federal de Mato Grosso do Sul,Campus Jardim,Centro-Oeste,MS,Jardim,Jardim/MS
ifms_campus_navirai,2016,IFMS,Instituto Federal de Mato Grosso do Sul,Campus Naviraí,Centro-Oeste,MS,Naviraí,Naviraí/MS
ifms_campus_nova_andradina,2010,IFMS,Instituto Federal de Mato Grosso do Sul,Campus Nova Andradina,Centro-Oeste,MS,Nova Andradina,Nova Andradina/MS
ifms_campus_ponta_pora,2011,IFMS,Instituto Federal de Mato Grosso do Sul,Campus Ponta Porã,Centro-Oeste,MS,Ponta Porã,Ponta Porã/MS
ifms_campus_tres_lagoas,2011,IFMS,Instituto Federal de Mato Grosso do Sul,Campus Três Lagoas,Centro-Oeste,MS,Três Lagoas,Três Lagoas/MS
ifmg_campus_arcos,2016,IFMG,Instituto Federal de Minas Gerais,Campus Arcos,Sudeste,MG,Arcos,Arcos/MG
ifmg_campus_avancado_itabirito,2015,IFMG,Instituto Federal de Minas Gerais,Campus Avançado Itabirito,Sudeste,MG,Itabirito,Itabirito/MG
ifmg_campus_bambui,1968,IFMG,Instituto Federal de Minas Gerais,Campus Bambuí,Sudeste,MG,Bambuí,Bambuí/MG
ifmg_campus_betim,2013,IFMG,Instituto Federal de Minas Gerais,Campus Betim,Sudeste,MG,Betim,Betim/MG
ifmg_campus_congonhas,2006,IFMG,Instituto Federal de Minas Gerais,Campus Congonhas,Sudeste,MG,Congonhas,Congonhas/MG
ifmg_campus_conselheiro_lafaiete,2015,IFMG,Instituto Federal de Minas Gerais,Campus Conselheiro Lafaiete,Sudeste,MG,Conselheiro Lafaiete,Conselheiro Lafaiete/MG
ifmg_campus_formiga,2008,IFMG,Instituto Federal de Minas Gerais,Campus Formiga,Sudeste,MG,Formiga,Formiga/MG
ifmg_campus_governador_valadares,2010,IFMG,Instituto Federal de Minas Gerais,Campus Governador Valadares,Sudeste,MG,Governador Valadares,Governador Valadares/MG
ifmg_campus_ibirite,2018,IFMG,Instituto Federal de Minas Gerais,Campus Ibirité,Sudeste,MG,Ibirité,Ibirité/MG
ifmg_campus_ipatinga,2014,IFMG,Instituto Federal de Minas Gerais,Campus Ipatinga,Sudeste,MG,Ipatinga,Ipatinga/MG
ifmg_campus_ouro_branco,2013,IFMG,Instituto Federal de Minas Gerais,Campus Ouro Branco,Sudeste,MG,Ouro Branco,Ouro Branco/MG
ifmg_campus_ouro_preto,1942,IFMG,Instituto Federal de Minas Gerais,Campus Ouro Preto,Sudeste,MG,Ouro Preto,Ouro Preto/MG
ifmg_campus_piumhi,2014,IFMG,Instituto Federal de Minas Gerais,Campus Piumhi,Sudeste,MG,Piumhi,Piumhi/MG
ifmg_campus_ponte_nova,2015,IFMG,Instituto Federal de Minas Gerais,Campus Ponte Nova,Sudeste,MG,Ponte Nova,Ponte Nova/MG
ifmg_campus_ribeirao_das_neves,2013,IFMG,Instituto Federal de Minas Gerais,Campus Ribeirão das Neves,Sudeste,MG,Ribeirão das Neves,Ribeirão das Neves/MG
ifmg_campus_sabara,2013,IFMG,Instituto Federal de Minas Gerais,Campus Sabará,Sudeste,MG,Sabará,Sabará/MG
ifmg_campus_santa_luzia,2013,IFMG,Instituto Federal de Minas Gerais,Campus Santa Luzia,Sudeste,MG,Santa Luzia,Santa Luzia/MG
ifmg_campus_sao_joao_evangelista,1951,IFMG,Instituto Federal de Minas Gerais,Campus São João Evangelista,Sudeste,MG,São João Evangelista,São João Evangelista/MG
ifmg_polo_de_inovacao_formiga,2015,IFMG,Instituto Federal de Minas Gerais,Polo de Inovação Formiga,Sudeste,MG,Formiga,Formiga/MG
ifpe_campus_abreu_e_lima,2017,IFPE,Instituto Federal de Pernambuco,Campus Abreu e Lima,Nordeste,PE,Abreu e Lima,Abreu e Lima/PE
ifpe_campus_afogados_da_ingazeira,2010,IFPE,Instituto Federal de Pernambuco,Campus Afogados da Ingazeira,Nordeste,PE,Afogados da Ingazeira,Afogados da Ingazeira/PE
ifpe_campus_barreiros,2008,IFPE,Instituto Federal de Pernambuco,Campus Barreiros,Nordeste,PE,Barreiros,Barreiros/PE
ifpe_campus_belo_jardim,2008,IFPE,Instituto Federal de Pernambuco,Campus Belo Jardim,Nordeste,PE,Belo Jardim,Belo Jardim/PE
ifpe_campus_cabo_de_santo_agostinho,2013,IFPE,Instituto Federal de Pernambuco,Campus Cabo de Santo Agostinho,Nordeste,PE,Cabo de Santo Agostinho,Cabo de Santo Agostinho/PE
ifpe_campus_caruaru,2010,IFPE,Instituto Federal de Pernambuco,Campus Caruaru,Nordeste,PE,Caruaru,Caruaru/PE
ifpe_campus_garanhuns,2010,IFPE,Instituto Federal de Pernambuco,Campus Garanhuns,Nordeste,PE,Garanhuns,Garanhuns/PE
ifpe_campus_igarassu,2016,IFPE,Instituto Federal de Pernambuco,Campus Igarassu,Nordeste,PE,Igarassu,Igarassu/PE
ifpe_campus_ipojuca,2007,IFPE,Instituto Federal de Pernambuco,Campus Ipojuca,Nordeste,PE,Ipojuca,Ipojuca/PE
ifpe_campus_jaboatao_dos_guararapes,2013,IFPE,Instituto Federal de Pernambuco,Campus Jaboatão dos Guararapes,Nordeste,PE,Jaboatão dos Guararapes,Jaboatão dos Guararapes/PE
ifpe_campus_olinda,2016,IFPE,Instituto Federal de Pernambuco,Campus Olinda,Nordeste,PE,Olinda,Olinda/PE
ifpe_campus_palmares,2014,IFPE,Instituto Federal de Pernambuco,Campus Palmares,Nordeste,PE,Palmares,Palmares/PE
ifpe_campus_paulista,2016,IFPE,Instituto Federal de Pernambuco,Campus Paulista,Nordeste,PE,Paulista,Paulista/PE
ifpe_campus_pesqueira,2008,IFPE,Instituto Federal de Pernambuco,Campus Pesqueira,Nordeste,PE,Pesqueira,Pesqueira/PE
ifpe_campus_recife,2008,IFPE,Instituto Federal de Pernambuco,Campus Recife,Nordeste,PE,Recife,Recife/PE
ifpe_campus_vitoria_de_santo_antao,2008,IFPE,Instituto Federal de Pernambuco,Campus Vitória de Santo Antão,Nordeste,PE,Vitória de Santo Antão,Vitória de Santo Antão/PE
ifro_campus_ariquemes,2010,IFRO,Instituto Federal de Rondônia,Campus Ariquemes,Norte,RO,Ariquemes,Ariquemes/RO
ifro_campus_cacoal,2013,IFRO,Instituto Federal de Rondônia,Campus Cacoal,Norte,RO,Cacoal,Cacoal/RO
ifro_campus_colorado_do_oeste,1993,IFRO,Instituto Federal de Rondônia,Campus Colorado do Oeste,Norte,RO,Colorado do Oeste,Colorado do Oeste/RO
ifro_campus_guajara_mirim,2016,IFRO,Instituto Federal de Rondônia,Campus Guajará-Mirim,Norte,RO,Guajará-Mirim,Guajará-Mirim/RO
ifro_campus_jaru,2016,IFRO,Instituto Federal de Rondônia,Campus Jaru,Norte,RO,Jaru,Jaru/RO
ifro_campus_ji_parana,2010,IFRO,Instituto Federal de Rondônia,Campus Ji-Paraná,Norte,RO,Ji-Paraná,Ji-Paraná/RO
ifro_campus_porto_velho_calama,2013,IFRO,Instituto Federal de Rondônia,Campus Porto Velho Calama,Norte,RO,Porto Velho,Porto Velho/RO
ifro_campus_porto_velho_zona_norte,2010,IFRO,Instituto Federal de Rondônia,Campus Porto Velho Zona Norte,Norte,RO,Porto Velho,Porto Velho/RO
ifro_campus_sao_miguel_do_guapore,2018,IFRO,Instituto Federal de Rondônia,Campus São Miguel do Guaporé,Norte,RO,São Miguel do Guaporé,São Miguel do Guaporé/RO
ifro_campus_vilhena,2010,IFRO,Instituto Federal de Rondônia,Campus Vilhena,Norte,RO,Vilhena,Vilhena/RO
ifrr_campus_amajari,2010,IFRR,Instituto Federal de Roraima,Campus Amajari,Norte,RR,Amajari,Amajari/RR
ifrr_campus_boa_vista,2010,IFRR,Instituto Federal de Roraima,Campus Boa Vista,Norte,RR,Boa Vista,Boa Vista/RR
ifrr_campus_boa_vista_zona_oeste,2013,IFRR,Instituto Federal de Roraima,Campus Boa Vista Zona Oeste,Norte,RR,Boa Vista,Boa Vista/RR
ifrr_campus_bonfim,2015,IFRR,Instituto Federal de Roraima,Campus Bónfim,Norte,RR,Bonfim,Bonfim/RR
ifrr_campus_novo_paraiso,2006,IFRR,Instituto Federal de Roraima,Campus Novo Paraíso,Norte,RR,Caracaraí,Caracaraí/RR
ifsc_campus_ararangua,2008,IFSC,Instituto Federal de Santa Catarina,Campus Araranguá,Sul,SC,Araranguá,Araranguá/SC
ifsc_campus_avancado_sao_lourenco_do_oeste,2015,IFSC,Instituto Federal de Santa Catarina,Campus Avançado São Lourenço do Oeste,Sul,SC,São Lourenço do Oeste,São Lourenço do Oeste/SC
ifsc_campus_cacador,2013,IFSC,Instituto Federal de Santa Catarina,Campus Caçador,Sul,SC,Caçador,Caçador/SC
ifsc_campus_canoinhas,2010,IFSC,Instituto Federal de Santa Catarina,Campus Canoinhas,Sul,SC,Canoinhas,Canoinhas/SC
ifsc_campus_chapeco,2006,IFSC,Instituto Federal de Santa Catarina,Campus Chapecó,Sul,SC,Chapecó,Chapecó/SC
ifsc_campus_criciuma,2010,IFSC,Instituto Federal de Santa Catarina,Campus Criciúma,Sul,SC,Criciúma,Criciúma/SC
ifsc_campus_florianopolis,1909,IFSC,Instituto Federal de Santa Catarina,Campus Florianópolis,Sul,SC,Florianópolis,Florianópolis/SC
ifsc_campus_florianopolis_continente,2006,IFSC,Instituto Federal de Santa Catarina,Campus Florianópolis Continente,Sul,SC,Florianópolis,Florianópolis/SC
ifsc_campus_garopaba,2013,IFSC,Instituto Federal de Santa Catarina,Campus Garopaba,Sul,SC,Garopaba,Garopaba/SC
ifsc_campus_gaspar,2010,IFSC,Instituto Federal de Santa Catarina,Campus Gaspar,Sul,SC,Gaspar,Gaspar/SC
ifsc_campus_itajai,2010,IFSC,Instituto Federal de Santa Catarina,Campus Itajaí,Sul,SC,Itajaí,Itajaí/SC
ifsc_campus_jaragua_do_sul_centro,1994,IFSC,Instituto Federal de Santa Catarina,Campus Jaraguá do Sul Centro,Sul,SC,Jaraguá do Sul,Jaraguá do Sul/SC
ifsc_campus_jaragua_do_sul_rau,2013,IFSC,Instituto Federal de Santa Catarina,Campus Jaraguá do Sul Rau,Sul,SC,Jaraguá do Sul,Jaraguá do Sul/SC
ifsc_campus_joinville,2006,IFSC,Instituto Federal de Santa Catarina,Campus Joinville,Sul,SC,Joinville,Joinville/SC
ifsc_campus_lages,2010,IFSC,Instituto Federal de Santa Catarina,Campus Lages,Sul,SC,Lages,Lages/SC
ifsc_campus_palhoca,2013,IFSC,Instituto Federal de Santa Catarina,Campus Palhoça,Sul,SC,Palhoça,Palhoça/SC
ifsc_campus_sao_carlos,2013,IFSC,Instituto Federal de Santa Catarina,Campus São Carlos,Sul,SC,São Carlos,São Carlos/SC
ifsc_campus_sao_jose,2003,IFSC,Instituto Federal de Santa Catarina,Campus São José,Sul,SC,São José,São José/SC
ifsc_campus_sao_miguel_do_oeste,2010,IFSC,Instituto Federal de Santa Catarina,Campus São Miguel do Oeste,Sul,SC,São Miguel do Oeste,São Miguel do Oeste/SC
ifsc_campus_tubarao,2013,IFSC,Instituto Federal de Santa Catarina,Campus Tubarão,Sul,SC,Tubarão,Tubarão/SC
ifsc_campus_urupema,2013,IFSC,Instituto Federal de Santa Catarina,Campus Urupema,Sul,SC,Urupema,Urupema/SC
ifsc_campus_xanxere,2013,IFSC,Instituto Federal de Santa Catarina,Campus Xanxerê,Sul,SC,Xanxerê,Xanxerê/SC
ifsc_polo_de_inovacao_florianopolis,2018,IFSC,Instituto Federal de Santa Catarina,Polo de Inovação Florianópolis,Sul,SC,Florianópolis,Florianópolis/SC
ifsp_campus_araraquara,2010,IFSP,Instituto Federal de São Paulo,Campus Araraquara,Sudeste,SP,Araraquara,Araraquara/SP
ifsp_campus_avancado_ilha_solteira,2015,IFSP,Instituto Federal de São Paulo,Campus Avançado Ilha Solteira,Sudeste,SP,Ilha Solteira,Ilha Solteira/SP
ifsp_campus_avancado_tupa,2016,IFSP,Instituto Federal de São Paulo,Campus Avançado Tupã,Sudeste,SP,Tupã,Tupã/SP
ifsp_campus_avare,2010,IFSP,Instituto Federal de São Paulo,Campus Avaré,Sudeste,SP,Avaré,Avaré/SP
ifsp_campus_barretos,2010,IFSP,Instituto Federal de São Paulo,Campus Barretos,Sudeste,SP,Barretos,Barretos/SP
ifsp_campus_bauru,2022,IFSP,Instituto Federal de São Paulo,Campus Bauru,Sudeste,SP,Bauru,Bauru/SP
ifsp_campus_birigui,2010,IFSP,Instituto Federal de São Paulo,Campus Birigui,Sudeste,SP,Birigui,Birigui/SP
ifsp_campus_boituva,2013,IFSP,Instituto Federal de São Paulo,Campus Boituva,Sudeste,SP,Boituva,Boituva/SP
ifsp_campus_braganca_paulista,2006,IFSP,Instituto Federal de São Paulo,Campus Bragança Paulista,Sudeste,SP,Bragança Paulista,Bragança Paulista/SP
ifsp_campus_campinas,2010,IFSP,Instituto Federal de São Paulo,Campus Campinas,Sudeste,SP,Campinas,Campinas/SP
ifsp_campus_campos_do_jordao,2008,IFSP,Instituto Federal de São Paulo,Campus Campos do Jordão,Sudeste,SP,Campos do Jordão,Campos do Jordão/SP
ifsp_campus_capivari,2013,IFSP,Instituto Federal de São Paulo,Campus Capivari,Sudeste,SP,Capivari,Capivari/SP
ifsp_campus_caraguatatuba,2006,IFSP,Instituto Federal de São Paulo,Campus Caraguatatuba,Sudeste,SP,Caraguatatuba,Caraguatatuba/SP
ifsp_campus_catanduva,2010,IFSP,Instituto Federal de São Paulo,Campus Catanduva,Sudeste,SP,Catanduva,Catanduva/SP
ifsp_campus_cubatao,1987,IFSP,Instituto Federal de São Paulo,Campus Cubatão,Sudeste,SP,Cubatão,Cubatão/SP
ifsp_campus_guarulhos,2005,IFSP,Instituto Federal de São Paulo,Campus Guarulhos,Sudeste,SP,Guarulhos,Guarulhos/SP
ifsp_campus_hortolandia,2010,IFSP,Instituto Federal de São Paulo,Campus Hortolândia,Sudeste,SP,Hortolândia,Hortolândia/SP
ifsp_campus_itapetininga,2010,IFSP,Instituto Federal de São Paulo,Campus Itapetininga,Sudeste,SP,Itapetininga,Itapetininga/SP
ifsp_campus_itaquaquecetuba,2016,IFSP,Instituto Federal de São Paulo,Campus Itaquaquecetuba,Sudeste,SP,Itaquaquecetuba,Itaquaquecetuba/SP
ifsp_campus_jacarei,2015,IFSP,Instituto Federal de São Paulo,Campus Jacareí,Sudeste,SP,Jacareí,Jacareí/SP
ifsp_campus_jundiai,2016,IFSP,Instituto Federal de São Paulo,Campus Jundiaí,Sudeste,SP,Jundiaí,Jundiaí/SP
ifsp_campus_matao,2013,IFSP,Instituto Federal de São Paulo,Campus Matão,Sudeste,SP,Matão,Matão/SP
ifsp_campus_miracatu,2022,IFSP,Instituto Federal de São Paulo,Campus Miracatu,Sudeste,SP,Miracatu,Miracatu/SP
ifsp_campus_piracicaba,2010,IFSP,Instituto Federal de São Paulo,Campus Piracicaba,Sudeste,SP,Piracicaba,Piracicaba/SP
ifsp_campus_presidente_epitacio,2010,IFSP,Instituto Federal de São Paulo,Campus Presidente Epitácio,Sudeste,SP,Presidente Epitácio,Presidente Epitácio/SP
ifsp_campus_presidente_prudente,2022,IFSP,Instituto Federal de São Paulo,Campus Presidente Prudente,Sudeste,SP,Presidente Prudente,Presidente Prudente/SP
ifsp_campus_registro,2010,IFSP,Instituto Federal de São Paulo,Campus Registro,Sudeste,SP,Registro,Registro/SP
ifsp_campus_rio_claro,2022,IFSP,Instituto Federal de São Paulo,Campus Rio Claro,Sudeste,SP,Rio Claro,Rio Claro/SP
ifsp_campus_salto,2006,IFSP,Instituto Federal de São Paulo,Campus Salto,Sudeste,SP,Salto,Salto/SP
ifsp_campus_sao_carlos,2007,IFSP,Instituto Federal de São Paulo,Campus São Carlos,Sudeste,SP,São Carlos,São Carlos/SP
ifsp_campus_sao_joao_da_boa_vista,2006,IFSP,Instituto Federal de São Paulo,Campus São João da Boa Vista,Sudeste,SP,São João da Boa Vista,São João da Boa Vista/SP
ifsp_campus_sao_jose_do_rio_preto,2017,IFSP,Instituto Federal de São Paulo,Campus São José do Rio Preto,Sudeste,SP,São José do Rio Preto,São José do Rio Preto/SP
ifsp_campus_sao_jose_dos_campos,2013,IFSP,Instituto Federal de São Paulo,Campus São José dos Campos,Sudeste,SP,São José dos Campos,São José dos Campos/SP
ifsp_campus_sao_paulo,1909,IFSP,Instituto Federal de São Paulo,Campus São Paulo,Sudeste,SP,São Paulo,São Paulo/SP
ifsp_campus_sao_paulo_sao_miguel,2018,IFSP,Instituto Federal de São Paulo,Campus São Paulo - São Miguel,Sudeste,SP,São Paulo,São Paulo/SP
ifsp_campus_sao_paulo_pirituba,2016,IFSP,Instituto Federal de São Paulo,Campus São Paulo Pirituba,Sudeste,SP,São Paulo,São Paulo/SP
ifsp_campus_sao_roque,2008,IFSP,Instituto Federal de São Paulo,Campus São Roque,Sudeste,SP,São Roque,São Roque/SP
ifsp_campus_sertaozinho,1996,IFSP,Instituto Federal de São Paulo,Campus Sertãozinho,Sudeste,SP,Sertãozinho,Sertãozinho/SP
ifsp_campus_sorocaba,2016,IFSP,Instituto Federal de São Paulo,Campus Sorocaba,Sudeste,SP,Sorocaba,Sorocaba/SP
ifsp_campus_suzano,2010,IFSP,Instituto Federal de São Paulo,Campus Suzano,Sudeste,SP,Suzano,Suzano/SP
ifsp_campus_votuporanga,2010,IFSP,Instituto Federal de São Paulo,Campus Votuporanga,Sudeste,SP,Votuporanga,Votuporanga/SP
ifsp_polo_de_inovacao_matao,2021,IFSP,Instituto Federal de São Paulo,Polo de Inovação Matão,Sudeste,SP,Matão,Matão/SP
ifs_campus_aracaju,1909,IFS,Instituto Federal de Sergipe,Campus Aracaju,Nordeste,SE,Aracaju,Aracaju/SE
ifs_campus_estancia,2014,IFS,Instituto Federal de Sergipe,Campus Estância,Nordeste,SE,Estância,Estância/SE
ifs_campus_itabaiana,2008,IFS,Instituto Federal de Sergipe,Campus Itabaiana,Nordeste,SE,Itabaiana,Itabaiana/SE
ifs_campus_lagarto,1994,IFS,Instituto Federal de Sergipe,Campus Lagarto,Nordeste,SE,Lagarto,Lagarto/SE
ifs_campus_nossa_senhora_da_gloria,2008,IFS,Instituto Federal de Sergipe,Campus Nossa Senhora da Glória,Nordeste,SE,Nossa Senhora da Glória,Nossa Senhora da Glória/SE
ifs_campus_nossa_senhora_do_socorro,2016,IFS,Instituto Federal de Sergipe,Campus Nossa Senhora do Socorro,Nordeste,SE,Nossa Senhora do Socorro,Nossa Senhora do Socorro/SE
ifs_campus_poco_redondo,2020,IFS,Instituto Federal de Sergipe,Campus Poço Redondo,Nordeste,SE,Poço Redondo,Poço Redondo/SE
ifs_campus_propria,2014,IFS,Instituto Federal de Sergipe,Campus Propriá,Nordeste,SE,Propriá,Propriá/SE
ifs_campus_sao_cristovao,1946,IFS,Instituto Federal de Sergipe,Campus São Cristóvão,Nordeste,SE,São Cristóvão,São Cristóvão/SE
ifs_campus_tobias_barreto,2014,IFS,Instituto Federal de Sergipe,Campus Tobias Barreto,Nordeste,SE,Tobias Barreto,Tobias Barreto/SE
ifac_campus_cruzeiro_do_sul,2010,IFAC,Instituto Federal do Acre,Campus Cruzeiro do Sul,Norte,AC,Cruzeiro do Sul,Cruzeiro do Sul/AC
ifac_campus_rio_branco,2010,IFAC,Instituto Federal do Acre,Campus Rio Branco,Norte,AC,Rio Branco,Rio Branco/AC
ifac_campus_rio_branco_baixada_do_sol,2014,IFAC,Instituto Federal do Acre,Campus Rio Branco Baixada do Sol,Norte,AC,Rio Branco,Rio Branco/AC
ifac_campus_sena_madureira,2010,IFAC,Instituto Federal do Acre,Campus Sena Madureira,Norte,AC,Sena Madureira,Sena Madureira/AC
ifac_campus_tarauaca,2013,IFAC,Instituto Federal do Acre,Campus Tarauacá,Norte,AC,Tarauacá,Tarauacá/AC
ifac_campus_xapuri,2013,IFAC,Instituto Federal do Acre,Campus Xapuri,Norte,AC,Xapuri,Xapuri/AC
ifap_campus_laranjal_do_jari,2010,IFAP,Instituto Federal do Amapá,Campus Laranjal do Jari,Norte,AP,Laranjal do Jari,Laranjal do Jari/AP
ifap_campus_macapa,2010,IFAP,Instituto Federal do Amapá,Campus Macapá,Norte,AP,Macapá,Macapá/AP
ifap_campus_oiapoque,2016,IFAP,Instituto Federal do Amapá,Campus Oiapoque,Norte,AP,Oiapoque,Oiapoque/AP
ifap_campus_porto_grande,2016,IFAP,Instituto Federal do Amapá,Campus Porto Grande,Norte,AP,Porto Grande,Porto Grande/AP
ifap_campus_santana,2015,IFAP,Instituto Federal do Amapá,Campus Santana,Norte,AP,Santana,Santana/AP
ifam_campus_avancado_boca_do_acre,2018,IFAM,Instituto Federal do Amazonas,Campus Avançado Boca do Acre,Norte,AM,Boca do Acre,Boca do Acre/AM
ifam_campus_avancado_manacapuru,2014,IFAM,Instituto Federal do Amazonas,Campus Avançado Manacapuru,Norte,AM,Manacapuru,Manacapuru/AM
ifam_campus_coari,2006,IFAM,Instituto Federal do Amazonas,Campus Coari,Norte,AM,Coari,Coari/AM
ifam_campus_eirunepe,2016,IFAM,Instituto Federal do Amazonas,Campus Eirunepé,Norte,AM,Eirunepé,Eirunepé/AM
ifam_campus_humaita,2013,IFAM,Instituto Federal do Amazonas,Campus Humaitá,Norte,AM,Humaitá,Humaitá/AM
ifam_campus_iranduba,2018,IFAM,Instituto Federal do Amazonas,Campus Iranduba,Norte,AM,Iranduba,Iranduba/AM
ifam_campus_itacoatiara,2016,IFAM,Instituto Federal do Amazonas,Campus Itacoatiara,Norte,AM,Itacoatiara,Itacoatiara/AM
ifam_campus_labrea,2010,IFAM,Instituto Federal do Amazonas,Campus Lábrea,Norte,AM,Lábrea,Lábrea/AM
ifam_campus_manaus_centro,1909,IFAM,Instituto Federal do Amazonas,Campus Manaus Centro,Norte,AM,Manaus,Manaus/AM
ifam_campus_manaus_distrito_industrial,1992,IFAM,Instituto Federal do Amazonas,Campus Manaus Distrito Industrial,Norte,AM,Manaus,Manaus/AM
ifam_campus_manaus_zona_leste,1940,IFAM,Instituto Federal do Amazonas,Campus Manaus Zona Leste,Norte,AM,Manaus,Manaus/AM
ifam_campus_maues,2010,IFAM,Instituto Federal do Amazonas,Campus Maués,Norte,AM,Maués,Maués/AM
ifam_campus_parintins,2010,IFAM,Instituto Federal do Amazonas,Campus Parintins,Norte,AM,Parintins,Parintins/AM
